At. num	Sp. Name	Ion Charge	El. Name	Isoel. Seq.	Ground Shells (a)	Ground Level	Prefix	Ionization Energy (eV)	Suffix	Uncertainty (b) (eV)	References	
"54"	"Xe XVII"	"+16"	"Xenon"	"Sr"	"[Kr].4d2"	"3F<2>"	"("	"404"	")"	"3"	"L8672c99"	
"54"	"Xe XVIII"	"+17"	"Xenon"	"Rb"	"[Kr].4d"	"2D<3/2>"	"("	"434"	")"	"3"	"L8672c99"	
"54"	"Xe XIX"	"+18"	"Xenon"	"Kr"	"[Ar].3d10.4s2.4p6"	"1S0"	"("	"549"	")"	"3"	"L8672c99"	
"54"	"Xe XX"	"+19"	"Xenon"	"Br"	"[Ar].3d10.4s2.4p5"	"2P*<3/2>"	"("	"582"	")"	"4"	"L8672c99"	
"54"	"Xe XXI"	"+20"	"Xenon"	"Se"	"[Ar].3d10.4s2.4p4"	"3P<2>"	"("	"616"	")"	"4"	"L8672c99"	
"54"	"Xe XXII"	"+21"	"Xenon"	"As"	"[Ar].3d10.4s2.4p3"	"4S*<3/2>"	"("	"650"	")"	"4"	"L8672c99"	
"54"	"Xe XXIII"	"+22"	"Xenon"	"Ge"	"[Ar].3d10.4s2.4p2"	"3P0"	"("	"700"	")"	"4"	"L8672c99"	
"54"	"Xe XXIV"	"+23"	"Xenon"	"Ga"	"[Ar].3d10.4s2.4p"	"2P*<1/2>"	"("	"736"	")"	"4"	"L8672c99"	
"54"	"Xe XXV"	"+24"	"Xenon"	"Zn"	"[Ar].3d10.4s2"	"1S0"	"("	"818"	")"	"4"	"L8672c99"	
"54"	"Xe XXVI"	"+25"	"Xenon"	"Cu"	"[Ar].3d10.4s"	"2S<1/2>"	"["	"857.0"	"]"	"0.4"	"L10107"	
"54"	"Xe XXVII"	"+26"	"Xenon"	"Ni"	"[Ar].3d10"	"1S0"	"("	"1493"	")"	"4"	"L8672c99"	
"54"	"Xe XXVIII"	"+27"	"Xenon"	"Co"	"[Ar].3d9"	"2D<5/2>"	"("	"1571"	")"	"4"	"L8672c99"	
"54"	"Xe XXIX"	"+28"	"Xenon"	"Fe"	"[Ar].3d8"	"(0,4)<4>"	"("	"1653"	")"	"4"	"L8672c99"	
"54"	"Xe XXX"	"+29"	"Xenon"	"Mn"	"[Ar].3d7"	"4F<9/2>"	"("	"1742"	")"	"4"	"L8672c99"	
"54"	"Xe XXXI"	"+30"	"Xenon"	"Cr"	"[Ar].3d6"	"5D<4>"	"("	"1826"	")"	"4"	"L8672c99"	
"54"	"Xe XXXII"	"+31"	"Xenon"	"V"	"[Ar].3d5"	"6S<5/2>"	"("	"1919"	")"	"4"	"L8672c99"	
"54"	"Xe XXXIII"	"+32"	"Xenon"	"Ti"	"[Ar].3d4"	"5D0"	"("	"2023"	")"	"4"	"L8672c99"	
"54"	"Xe XXXIV"	"+33"	"Xenon"	"Sc"	"[Ar].3d3"	"4F<3/2>"	"("	"2113"	")"	"5"	"L8672c99"	
"54"	"Xe XXXV"	"+34"	"Xenon"	"Ca"	"[Ar].3d2"	"3F<2>"	"("	"2209"	")"	"5"	"L8672c99"	
"54"	"Xe XXXVI"	"+35"	"Xenon"	"K"	"[Ar].3d"	"2D<3/2>"	"("	"2300"	")"	"5"	"L8672c99"	
"54"	"Xe XXXVII"	"+36"	"Xenon"	"Ar"	"[Ne].3s2.3p6"	"1S0"	"("	"2556"	")"	"5"	"L8672c99"	
"54"	"Xe XXXVIII"	"+37"	"Xenon"	"Cl"	"[Ne].3s2.3p5"	"2P*<3/2>"	"("	"2637"	")"	"4"	"L8672c99"	
"54"	"Xe XXXIX"	"+38"	"Xenon"	"S"	"[Ne].3s2.3p4"	"3P<2>"	"("	"2726"	")"	"4"	"L8672c99"	
"54"	"Xe XL"	"+39"	"Xenon"	"P"	"[Ne].3s2.3p3"	"4S*<3/2>"	"("	"2811"	")"	"4"	"L8672c99"	
"54"	"Xe XLI"	"+40"	"Xenon"	"Si"	"[Ne].3s2.3p2"	"3P0"	"("	"2975"	")"	"4"	"L8672c99"	
"54"	"Xe XLII"	"+41"	"Xenon"	"Al"	"[Ne].3s2.3p"	"2P*<1/2>"	"("	"3068"	")"	"4"	"L8672c99"	
"54"	"Xe XLIII"	"+42"	"Xenon"	"Mg"	"[Ne].3s2"	"1S0"	"("	"3243"	")"	"4"	"L8672c99"	
"54"	"Xe XLIV"	"+43"	"Xenon"	"Na"	"[Ne].3s"	"2S<1/2>"	"["	"3333.8"	"]"	"0.5"	"L10264c99"	
"54"	"Xe XLV"	"+44"	"Xenon"	"Ne"	"1s2.2s2.2p6"	"1S0"	"("	"7660"	")"	"4"	"L8672c99"	
"54"	"Xe XLVI"	"+45"	"Xenon"	"F"	"1s2.2s2.2p5"	"2P*<3/2>"	"("	"7889"	")"	"4"	"L8672c99"	
"54"	"Xe XLVII"	"+46"	"Xenon"	"O"	"1s2.2s2.2p4"	"3P<2>"	"("	"8144"	")"	"4"	"L8672c99"	
"54"	"Xe XLVIII"	"+47"	"Xenon"	"N"	"1s2.2s2.2p3"	"(0,3/2)*<3/2>"	"("	"8382"	")"	"4"	"L8672c99"	
"54"	"Xe XLIX"	"+48"	"Xenon"	"C"	"1s2.2s2.2p2"	"3P0"	"("	"8971"	")"	"4"	"L8672c99"	
"54"	"Xe L"	"+49"	"Xenon"	"B"	"1s2.2s2.2p"	"2P*<1/2>"	"("	"9243"	")"	"4"	"L8672c99"	
"54"	"Xe LI"	"+50"	"Xenon"	"Be"	"1s2.2s2"	"1S0"	"("	"9581"	")"	"4"	"L8672c99"	
"54"	"Xe LII"	"+51"	"Xenon"	"Li"	"1s2.2s"	"2S<1/2>"	"("	"9810.37"	")"	"0.04"	"L16264c99"	
"54"	"Xe LIII"	"+52"	"Xenon"	"He"	"1s2"	"1S0"	"("	"40271.73"	")"	"0.03"	"L21139"	
"54"	"Xe LIV"	"+53"	"Xenon"	"H"	"1s"	"2S<1/2>"	"("	"41299.892"	")"	"0.019"	"L19200"	
"86"	"Rn I"	"0"	"Radon"	"Rn"	"[Hg].6p6"	"1S0"	""	"10.74850"	""	""	"L272,L7432"	
"86"	"Rn II"	"+1"	"Radon"	"At"	"[Hg].6p5"	"2P*<3/2>"	"("	"18.99"	")"	"0.06"	"L22090"	
"86"	"Rn III"	"+2"	"Radon"	"Po"	"[Hg].6p4"	"3P<2>"	"["	"29.4"	"]"	"1.0"	"L16139"	
"86"	"Rn IV"	"+3"	"Radon"	"Bi"	"[Hg].6p3"	"4S*<3/2>"	"("	"36.9"	")"	"1.7"	"L8672c99"	
"86"	"Rn V"	"+4"	"Radon"	"Pb"	"[Hg].6p2"	"3P0"	"("	"52.9"	")"	"1.9"	"L8672c99"	
"86"	"Rn VI"	"+5"	"Radon"	"Tl"	"[Hg].6p"	"2P*<1/2>"	"("	"64.0"	")"	"2.0"	"L8672c99"	
"86"	"Rn VII"	"+6"	"Radon"	"Hg"	"[Xe].4f14.5d10.6s2"	"1S0"	"("	"88.0"	")"	"2.0"	"L8672c99"	
"86"	"Rn VIII"	"+7"	"Radon"	"Au"	"[Xe].4f14.5d10.6s"	"2S<1/2>"	"("	"102.0"	")"	"2.1"	"L8672c99"	
"86"	"Rn IX"	"+8"	"Radon"	"Pt"	"[Xe].4f14.5d10"	"1S0"	"("	"154.0"	")"	"2.2"	"L8672c99"	
"86"	"Rn X"	"+9"	"Radon"	"Ir"	"[Xe].4f14.5d9"	"2D<5/2>"	"("	"173.9"	")"	"2.2"	"L8672c99"	
"86"	"Rn XI"	"+10"	"Radon"	"Os"	"[Xe].4f14.5d8"	"3F<4>"	"("	"195.0"	")"	"2.4"	"L8672c99"	
"86"	"Rn XII"	"+11"	"Radon"	"Re"	"[Xe].4f14.5d7"	"4F<9/2>"	"("	"218.0"	")"	"2.5"	"L8672c99"	
"86"	"Rn XIII"	"+12"	"Radon"	"W"	"[Xe].4f14.5d6"	"5D<4>"	"("	"240"	")"	"3"	"L8672c99"	
"86"	"Rn XIV"	"+13"	"Radon"	"Ta"	"[Xe].4f14.5d5"	"6S<5/2>"	"("	"264"	")"	"3"	"L8672c99"	
"86"	"Rn XV"	"+14"	"Radon"	"Hf"	"[Xe].4f14.5d4"	"5D0"	"("	"293"	")"	"3"	"L8672c99"	
"86"	"Rn XVI"	"+15"	"Radon"	"Lu"	"[Xe].4f14.5d3"	"4F<3/2>"	"("	"317"	")"	"3"	"L8672c99"	
"86"	"Rn XVII"	"+16"	"Radon"	"Yb"	"[Xe].4f14.5d2"	"3F<2>"	"("	"342"	")"	"3"	"L8672c99"	
"86"	"Rn XVIII"	"+17"	"Radon"	"Tm"	"[Xe].4f14.5d"	"2D<3/2>"	"("	"367"	")"	"3"	"L8672c99"	
"86"	"Rn XIX"	"+18"	"Radon"	"Er"	"[Xe].4f14"	"1S0"	"("	"488"	")"	"25"	"L582"	
"86"	"Rn XX"	"+19"	"Radon"	"Ho"	"[Cd].4f14.5p5"	"2P*<3/2>"	"("	"520"	")"	"30"	"L582"	
"86"	"Rn XXI"	"+20"	"Radon"	"Dy"	"[Cd].4f14.5p4"	"3P<2>"	"("	"550"	")"	"30"	"L582"	
"86"	"Rn XXII"	"+21"	"Radon"	"Tb"	"[Cd].4f14.5p3"	"2P*<3/2>"	"("	"580"	")"	"30"	"L582"	
"86"	"Rn XXIII"	"+22"	"Radon"	"Gd"	"[Cd].4f14.5p2"	"3P0"	"("	"640"	")"	"30"	"L582"	
"86"	"Rn XXIV"	"+23"	"Radon"	"Eu"	"[Cd].4f14.5p"	"2P*<1/2>"	"("	"680"	")"	"30"	"L582"	
"86"	"Rn XXV"	"+24"	"Radon"	"Sm"	"[Cd].4f14"	"1S0"	"("	"760"	")"	"40"	"L582"	
"86"	"Rn XXVI"	"+25"	"Radon"	"Pm"	"[Kr].4d10.4f14.5s"	"2S<1/2>"	"("	"800"	")"	"40"	"L582"	
"86"	"Rn XXVII"	"+26"	"Radon"	"Nd"	"[Kr].4d10.4f14"	"1S0"	"("	"850"	")"	"40"	"L582"	
"86"	"Rn XXVIII"	"+27"	"Radon"	"Pr"	"[Kr].4d10.4f13"	"2F*<7/2>"	"("	"920"	")"	"50"	"L582"	
"86"	"Rn XXIX"	"+28"	"Radon"	"Ce"	"[Kr].4d10.4f12"	""	"("	"980"	")"	"50"	"L582"	
"86"	"Rn XXX"	"+29"	"Radon"	"La"	"[Kr].4d10.4f11"	"4I*<15/2>"	"("	"1050"	")"	"50"	"L582"	
"86"	"Rn XXXI"	"+30"	"Radon"	"Ba"	"[Kr].4d10.4f10"	"5I<8>"	"("	"1110"	")"	"60"	"L582"	
"86"	"Rn XXXII"	"+31"	"Radon"	"Cs"	"[Kr].4d10.4f9"	"6H*<15/2>"	"("	"1180"	")"	"60"	"L582"	
"86"	"Rn XXXIII"	"+32"	"Radon"	"Xe"	"[Kr].4d10.4f8"	"7F<6>"	"("	"1250"	")"	"60"	"L582"	
"86"	"Rn XXXIV"	"+33"	"Radon"	"I"	"[Kr].4d10.4f7"	"8S*<7/2>"	"("	"1310"	")"	"70"	"L582"	
"86"	"Rn XXXV"	"+34"	"Radon"	"Te"	"[Kr].4d10.4f6"	"7F0"	"("	"1390"	")"	"70"	"L582"	
"86"	"Rn XXXVI"	"+35"	"Radon"	"Sb"	"[Kr].4d10.4f5"	"6H*<5/2>"	"("	"1460"	")"	"70"	"L582"	
"86"	"Rn XXXVII"	"+36"	"Radon"	"Sn"	"[Kr].4d10.4f4"	"5I<4>"	"("	"1520"	")"	"80"	"L582"	
"86"	"Rn XXXVIII"	"+37"	"Radon"	"In"	"[Kr].4d10.4f3"	"4I*<9/2>"	"("	"1590"	")"	"70"	"L582"	
"86"	"Rn XXXIX"	"+38"	"Radon"	"Cd"	"[Kr].4d10.4f2"	"3H<4>"	"("	"1660"	")"	"90"	"L582"	
"86"	"Rn XL"	"+39"	"Radon"	"Ag"	"[Kr].4d10.4f"	"2F*<5/2>"	"("	"1720"	")"	"90"	"L582"	
"86"	"Rn XLI"	"+40"	"Radon"	"Pd"	"[Kr].4d10"	"1S0"	"("	"2033"	")"	"4"	"L8672c99"	
"86"	"Rn XLII"	"+41"	"Radon"	"Rh"	"[Kr].4d9"	"2D<5/2>"	"("	"2094"	")"	"4"	"L8672c99"	
"86"	"Rn XLIII"	"+42"	"Radon"	"Ru"	"[Kr].4d8"	"3F<4>"	"("	"2158"	")"	"4"	"L8672c99"	
"86"	"Rn XLIV"	"+43"	"Radon"	"Tc"	"[Kr].4d7"	"4F<9/2>"	"("	"2227"	")"	"4"	"L8672c99"	
"86"	"Rn XLV"	"+44"	"Radon"	"Mo"	"[Kr].4d6"	"5D<4>"	"("	"2293"	")"	"4"	"L8672c99"	
"86"	"Rn XLVI"	"+45"	"Radon"	"Nb"	"[Kr].4d5"	"(0,5/2)<5/2>"	"("	"2357"	")"	"4"	"L8672c99"	
"86"	"Rn XLVII"	"+46"	"Radon"	"Zr"	"[Kr].4d4"	"5D0"	"("	"2467"	")"	"4"	"L8672c99"	
"86"	"Rn XLVIII"	"+47"	"Radon"	"Y"	"[Kr].4d3"	"4F<3/2>"	"("	"2535"	")"	"4"	"L8672c99"	
"86"	"Rn XLIX"	"+48"	"Radon"	"Sr"	"[Kr].4d2"	"3F<2>"	"("	"2606"	")"	"4"	"L8672c99"	
"86"	"Rn L"	"+49"	"Radon"	"Rb"	"[Kr].4d"	"2D<3/2>"	"("	"2674"	")"	"4"	"L8672c99"	
"86"	"Rn LI"	"+50"	"Radon"	"Kr"	"[Ar].3d10.4s2.4p6"	"1S0"	"("	"2944"	")"	"4"	"L8672c99"	
"86"	"Rn LII"	"+51"	"Radon"	"Br"	"[Ar].3d10.4s2.4p5"	"2P*<3/2>"	"("	"3010"	")"	"4"	"L8672c99"	
"86"	"Rn LIII"	"+52"	"Radon"	"Se"	"[Ar].3d10.4s2.4p4"	"3P<2>"	"("	"3082"	")"	"4"	"L8672c99"	
"86"	"Rn LIV"	"+53"	"Radon"	"As"	"[Ar].3d10.4s2.4p3"	"(0,3/2)*<3/2>"	"("	"3149"	")"	"5"	"L8672c99"	
"86"	"Rn LV"	"+54"	"Radon"	"Ge"	"[Ar].3d10.4s2.4p2"	"3P0"	"("	"3433"	")"	"5"	"L8672c99"	
"86"	"Rn LVI"	"+55"	"Radon"	"Ga"	"[Ar].3d10.4s2.4p"	"2P*<1/2>"	"("	"3510"	")"	"5"	"L8672c99"	
"86"	"Rn LVII"	"+56"	"Radon"	"Zn"	"[Ar].3d10.4s2"	"1S0"	"("	"3699"	")"	"5"	"L8672c99"	
"86"	"Rn LVIII"	"+57"	"Radon"	"Cu"	"[Ar].3d10.4s"	"2S<1/2>"	"["	"3777"	"]"	"3"	"L10278"	
"86"	"Rn LIX"	"+58"	"Radon"	"Ni"	"[Ar].3d10"	"1S0"	"("	"6169"	")"	"6"	"L8672c99"	
"86"	"Rn LX"	"+59"	"Radon"	"Co"	"[Ar].3d9"	"2D<5/2>"	"("	"6318"	")"	"7"	"L8672c99"	
"86"	"Rn LXI"	"+60"	"Radon"	"Fe"	"[Ar].3d8"	"3F<4>"	"("	"6476"	")"	"10"	"L8672c99"	
"86"	"Rn LXII"	"+61"	"Radon"	"Mn"	"[Ar].3d7"	"4F<9/2>"	"("	"6646"	")"	"12"	"L8672c99"	
"86"	"Rn LXIII"	"+62"	"Radon"	"Cr"	"[Ar].3d6"	"(0,4)<4>"	"("	"6807"	")"	"15"	"L8672c99"	
"86"	"Rn LXIV"	"+63"	"Radon"	"V"	"[Ar].3d5"	"(0,5/2)<5/2>"	"("	"6964"	")"	"19"	"L8672c99"	
"86"	"Rn LXV"	"+64"	"Radon"	"Ti"	"[Ar].3d4"	"5D0"	"("	"7283"	")"	"24"	"L8672c99"	
"86"	"Rn LXVI"	"+65"	"Radon"	"Sc"	"[Ar].3d3"	"4F<3/2>"	"("	"7450"	")"	"30"	"L8672c99"	
"86"	"Rn LXVII"	"+66"	"Radon"	"Ca"	"[Ar].3d2"	"3F<2>"	"("	"7630"	")"	"40"	"L8672c99"	
"86"	"Rn LXVIII"	"+67"	"Radon"	"K"	"[Ar].3d"	"2D<3/2>"	"("	"7800"	")"	"40"	"L8672c99"	
"86"	"Rn LXIX"	"+68"	"Radon"	"Ar"	"[Ne].3s2.3p6"	"1S0"	"("	"8260"	")"	"50"	"L8672c99"	
"86"	"Rn LXX"	"+69"	"Radon"	"Cl"	"[Ne].3s2.3p5"	"2P*<3/2>"	"("	"8410"	")"	"50"	"L8672c99"	
"86"	"Rn LXXI"	"+70"	"Radon"	"S"	"[Ne].3s2.3p4"	"3P<2>"	"("	"8570"	")"	"60"	"L8672c99"	
"86"	"Rn LXXII"	"+71"	"Radon"	"P"	"[Ne].3s2.3p3"	"2P*<3/2>"	"("	"8710"	")"	"60"	"L8672c99"	
"86"	"Rn LXXIII"	"+72"	"Radon"	"Si"	"[Ne].3s2.3p2"	"3P0"	"("	"9610"	")"	"70"	"L8672c99"	
"86"	"Rn LXXIV"	"+73"	"Radon"	"Al"	"[Ne].3s2.3p"	"2P*<1/2>"	"("	"9780"	")"	"90"	"L8672c99"	
"86"	"Rn LXXV"	"+74"	"Radon"	"Mg"	"[Ne].3s2"	"1S0"	"("	"10120"	")"	"90"	"L8672c99"	
"86"	"Rn LXXVI"	"+75"	"Radon"	"Na"	"[Ne].3s"	"2S<1/2>"	"("	"10290"	")"	"100"	"L8672c99"	
"86"	"Rn LXXVII"	"+76"	"Radon"	"Ne"	"1s2.2s2.2p6"	"1S0"	"("	"21770"	")"	"110"	"L8672c99"	
"86"	"Rn LXXVIII"	"+77"	"Radon"	"F"	"1s2.2s2.2p5"	"2P*<3/2>"	"("	"22160"	")"	"120"	"L8672c99"	
"86"	"Rn LXXIX"	"+78"	"Radon"	"O"	"1s2.2s2.2p4"	"3P<2>"	"("	"22600"	")"	"120"	"L8672c99"	
"86"	"Rn LXXX"	"+79"	"Radon"	"N"	"1s2.2s2.2p3"	"(0,3/2)*<3/2>"	"("	"22990"	")"	"140"	"L8672c99"	
"86"	"Rn LXXXI"	"+80"	"Radon"	"C"	"1s2.2s2.2p2"	"3P0"	"("	"26310"	")"	"150"	"L8672c99"	
"86"	"Rn LXXXII"	"+81"	"Radon"	"B"	"1s2.2s2.2p"	"2P*<1/2>"	"("	"26830"	")"	"160"	"L8672c99"	
"86"	"Rn LXXXIII"	"+82"	"Radon"	"Be"	"1s2.2s2"	"1S0"	"("	"27490"	")"	"170"	"L8672c99"	
"86"	"Rn LXXXIV"	"+83"	"Radon"	"Li"	"1s2.2s"	"2S<1/2>"	"("	"27903.1"	")"	"0.5"	"L16264c99"	
"86"	"Rn LXXXV"	"+84"	"Radon"	"He"	"1s2"	"1S0"	"("	"110846.3"	")"	"0.5"	"L21139"	
"86"	"Rn LXXXVI"	"+85"	"Radon"	"H"	"1s"	"2S<1/2>"	"("	"112842.2"	")"	"0.7"	"L19200"	
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
     [Xe] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6
     [Hg] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6.4f14.5d10.6s2
(b) Uncertainties of some of the listed values are unknown. 

